path,participant_id,sequence_id,sign
train_landmark_files/26734/1000035562.parquet,26734,1000035562,blow
train_landmark_files/28656/1000106739.parquet,28656,1000106739,wait
train_landmark_files/16069/100015657.parquet,16069,100015657,cloud
train_landmark_files/25571/1000210073.parquet,25571,1000210073,bird
train_landmark_files/62590/1000240708.parquet,62590,1000240708,owie
train_landmark_files/26734/1000241583.parquet,26734,1000241583,duck
train_landmark_files/26734/1000255522.parquet,26734,1000255522,minemy
train_landmark_files/32319/1000278229.parquet,32319,1000278229,lips
train_landmark_files/37055/100035691.parquet,37055,100035691,flower
train_landmark_files/29302/100039661.parquet,29302,100039661,time
train_landmark_files/49445/1000397667.parquet,49445,1000397667,vacuum
train_landmark_files/36257/1000536928.parquet,36257,1000536928,apple
train_landmark_files/22343/1000638205.parquet,22343,1000638205,puzzle
train_landmark_files/26734/1000661926.parquet,26734,1000661926,mitten
train_landmark_files/27610/1000697904.parquet,27610,1000697904,there
train_landmark_files/28656/1000862366.parquet,28656,1000862366,dry
train_landmark_files/61333/1000909322.parquet,61333,1000909322,shirt
train_landmark_files/27610/1000956928.parquet,27610,1000956928,owl
train_landmark_files/26734/1001145816.parquet,26734,1001145816,yellow
train_landmark_files/28656/1001158776.parquet,28656,1001158776,time
train_landmark_files/22343/1001223069.parquet,22343,1001223069,not
train_landmark_files/32319/1001258102.parquet,32319,1001258102,zipper
train_landmark_files/26734/1001284511.parquet,26734,1001284511,clean
train_landmark_files/53618/1001363076.parquet,53618,1001363076,closet
train_landmark_files/34503/100137027.parquet,34503,100137027,quiet
train_landmark_files/18796/1001373962.parquet,18796,1001373962,have
train_landmark_files/53618/1001379621.parquet,53618,1001379621,brother
train_landmark_files/4718/1001385785.parquet,4718,1001385785,clown
train_landmark_files/55372/1001471195.parquet,55372,1001471195,cheek
train_landmark_files/53618/1001490690.parquet,53618,1001490690,cute
train_landmark_files/49445/1001499433.parquet,49445,1001499433,store
train_landmark_files/36257/1001560021.parquet,36257,1001560021,shoe
train_landmark_files/26734/1001589428.parquet,26734,1001589428,wet
train_landmark_files/53618/1001611718.parquet,53618,1001611718,shirt
train_landmark_files/18796/1001682966.parquet,18796,1001682966,see
train_landmark_files/34503/1001685690.parquet,34503,1001685690,empty
train_landmark_files/29302/1001705639.parquet,29302,1001705639,fall
train_landmark_files/61333/1001819372.parquet,61333,1001819372,balloon
train_landmark_files/28656/1001832755.parquet,28656,1001832755,frenchfries
train_landmark_files/53618/1001896056.parquet,53618,1001896056,finger
train_landmark_files/36257/1001899025.parquet,36257,1001899025,same
train_landmark_files/53618/100190623.parquet,53618,100190623,cry
train_landmark_files/36257/1001911914.parquet,36257,1001911914,hungry
train_landmark_files/28656/1001913464.parquet,28656,1001913464,owl
train_landmark_files/28656/1001919956.parquet,28656,1001919956,orange
train_landmark_files/26734/1001931356.parquet,26734,1001931356,cloud
train_landmark_files/2044/1001950812.parquet,2044,1001950812,milk
train_landmark_files/32319/1001958254.parquet,32319,1001958254,go
train_landmark_files/26734/1002003043.parquet,26734,1002003043,store
train_landmark_files/49445/1002020383.parquet,49445,1002020383,drawer
train_landmark_files/61333/1002052130.parquet,61333,1002052130,TV
train_landmark_files/62590/1002055891.parquet,62590,1002055891,dry
train_landmark_files/2044/1002091184.parquet,2044,1002091184,duck
train_landmark_files/2044/1002092995.parquet,2044,1002092995,blow
train_landmark_files/16069/1002113535.parquet,16069,1002113535,another
train_landmark_files/55372/1002129762.parquet,55372,1002129762,giraffe
train_landmark_files/62590/1002160015.parquet,62590,1002160015,wake
train_landmark_files/62590/1002203166.parquet,62590,1002203166,bee
train_landmark_files/26734/100225301.parquet,26734,100225301,bad
train_landmark_files/29302/1002284514.parquet,29302,1002284514,can
train_landmark_files/28656/1002298936.parquet,28656,1002298936,flower
train_landmark_files/55372/100230619.parquet,55372,100230619,say
train_landmark_files/28656/1002340281.parquet,28656,1002340281,callonphone
train_landmark_files/26734/1002456370.parquet,26734,1002456370,finish
train_landmark_files/37779/1002526690.parquet,37779,1002526690,bee
train_landmark_files/28656/1002619089.parquet,28656,1002619089,old
train_landmark_files/18796/1002643353.parquet,18796,1002643353,backyard
train_landmark_files/26734/1002667538.parquet,26734,1002667538,sick
train_landmark_files/62590/1002711645.parquet,62590,1002711645,look
train_landmark_files/55372/1002734054.parquet,55372,1002734054,that
train_landmark_files/22343/1002776784.parquet,22343,1002776784,black
train_landmark_files/37779/1002801453.parquet,37779,1002801453,yourself
train_landmark_files/62590/1002825266.parquet,62590,1002825266,open
train_landmark_files/62590/1002885072.parquet,62590,1002885072,alligator
train_landmark_files/53618/100293231.parquet,53618,100293231,wet
train_landmark_files/18796/1002976391.parquet,18796,1002976391,closet
train_landmark_files/37055/1003007869.parquet,37055,1003007869,moon
train_landmark_files/28656/1003023196.parquet,28656,1003023196,find
train_landmark_files/61333/1003093029.parquet,61333,1003093029,pizza
train_landmark_files/37055/1003109377.parquet,37055,1003109377,shhh
train_landmark_files/18796/1003114245.parquet,18796,1003114245,fast
train_landmark_files/28656/1003256778.parquet,28656,1003256778,jacket
train_landmark_files/26734/100328364.parquet,26734,100328364,scissors
train_landmark_files/36257/1003335907.parquet,36257,1003335907,now
train_landmark_files/22343/1003347075.parquet,22343,1003347075,TV
train_landmark_files/28656/1003351443.parquet,28656,1003351443,wake
train_landmark_files/53618/1003370644.parquet,53618,1003370644,man
train_landmark_files/2044/1003433922.parquet,2044,1003433922,sticky
train_landmark_files/55372/1003483016.parquet,55372,1003483016,jump
train_landmark_files/34503/1003483410.parquet,34503,1003483410,sleep
train_landmark_files/62590/1003498206.parquet,62590,1003498206,sun
train_landmark_files/28656/1003656851.parquet,28656,1003656851,first
train_landmark_files/49445/1003700302.parquet,49445,1003700302,yellow
train_landmark_files/37055/1003705747.parquet,37055,1003705747,brother
train_landmark_files/25571/100387913.parquet,25571,100387913,grass
train_landmark_files/37055/100393298.parquet,37055,100393298,uncle
train_landmark_files/30680/1004012212.parquet,30680,1004012212,fish
train_landmark_files/22343/1004053083.parquet,22343,1004053083,scissors
train_landmark_files/49445/1004160575.parquet,49445,1004160575,cowboy
train_landmark_files/18796/1004199462.parquet,18796,1004199462,snow
train_landmark_files/32319/1004200659.parquet,32319,1004200659,dryer
train_landmark_files/16069/10042041.parquet,16069,10042041,green
train_landmark_files/16069/1004211348.parquet,16069,1004211348,bug
train_landmark_files/26734/1004212902.parquet,26734,1004212902,nap
train_landmark_files/28656/1004220316.parquet,28656,1004220316,feet
train_landmark_files/2044/1004220951.parquet,2044,1004220951,yucky
train_landmark_files/37779/1004278047.parquet,37779,1004278047,morning
train_landmark_files/29302/1004285193.parquet,29302,1004285193,brother
